customerid,if_score,ae_mse,spend_sum,tx_count,basket_size_mean,recency_days
14911,0.8146427108428936,3.3962459904829405,295972.63,398,28.253768844221106,0.8722222222222222
14156,0.8140917211501261,3.866049353624774,313946.37,156,25.94871794871795,9.080555555555556
14646,0.8118914865193666,9.118536703484365,528602.52,151,25.490066225165563,1.0263888888888888
13694,0.808055375117868,1.429384003991392,196482.81,143,10.664335664335665,3.1375
18102,0.804668791008543,64.61305021822281,608821.65,145,7.296551724137931,0.041666666666666664
15311,0.8015213056792482,0.12363969136593922,116771.16,208,21.317307692307693,0.034722222222222224
14298,0.7993550449395423,1.1977740480321797,91194.49,82,34.926829268292686,7.9847222222222225
13089,0.7986376712155867,0.16690462509444895,116737.86,203,16.561576354679804,2.158333333333333
16029,0.7982741110809585,1.023049166961097,122209.14,107,3.5794392523364484,38.09930555555555
17511,0.7966554503645216,1.3304249211807233,175603.55,60,31.85,2.109722222222222
15061,0.7964792040355555,0.24142335852121133,137818.52,127,7.771653543307087,3.0305555555555554
17949,0.7955781670529618,0.5873548019618449,118628.08,118,1.3305084745762712,0.7527777777777778
16684,0.7899363389354837,0.8234737436054475,147142.77,55,13.054545454545455,3.9472222222222224
16422,0.7874343411692445,1.1207872091332727,63651.47,109,6.532110091743119,16.95138888888889
16754,0.7864798773665049,0.6684539610509176,67502.47,29,4.896551724137931,371.8
17850,0.7857904163590741,1.2109915790957906,56600.08,155,18.038709677419355,371.8909722222222
17450,0.7830974175897871,10.851282566066596,246973.09,51,8.313725490196079,7.972916666666666
12346,0.7816928193026353,0.6053152391606244,77556.46,12,2.8333333333333335,325.1173611111111
17841,0.7771071275083234,0.9614065433781139,70884.07,211,61.09004739336493,1.0298611111111111
13798,0.7739466908099929,0.3792433562761892,75836.87,110,6.5636363636363635,0.8743055555555556
12415,0.7736661146879023,2.022597968621659,144458.37,28,33.07142857142857,23.93611111111111
12748,0.7733101622519578,3.8292397513155887,56599.39,336,21.511904761904763,0.020833333333333332
12931,0.7711710945322499,0.38340588957674,92347.34,57,3.824561403508772,21.007638888888888
13902,0.7686247177428688,16.525115913304706,34095.26,5,12.6,631.9868055555555
13093,0.7580081484345831,1.3974706793548375,54943.65,55,19.09090909090909,275.025
16446,0.7513025406069059,5.719761543466358,168472.5,2,1.5,0.14930555555555555
15769,0.7503838230265031,0.623684409410468,88704.32,46,4.869565217391305,6.956944444444445
13081,0.7479290179785518,1.5265168890199048,59205.15,28,84.07142857142857,11.080555555555556
15838,0.7457703953312959,0.5202210171438644,74163.0,34,6.147058823529412,10.95138888888889
13408,0.7430675291110991,0.30125608385737107,51733.462,106,7.9245283018867925,1.15625
16013,0.7380259369568666,0.5738313736841258,57446.44,84,2.619047619047619,3.0930555555555554
12482,0.7324722834156765,0.8453128459903927,23691.4,29,7.0344827586206895,575.8326388888889
17940,0.7311084091854406,2.0963927044942747,30393.19,16,2.25,48.97430555555555
14680,0.7310596460384974,0.8743272835347667,57412.77,58,22.275862068965516,24.827083333333334
14096,0.728491033353662,1.5664443726658552,65164.79,17,300.6470588235294,3.814583333333333
13777,0.7254962413135486,0.6262025558810181,56478.42,61,6.409836065573771,0.017361111111111112
13687,0.7212790804366329,3.182974332223154,11880.84,1,45.0,437.84722222222223
14606,0.7200716321269239,1.653198119600967,30861.06,192,34.197916666666664,0.7236111111111111
15039,0.7173648277534229,0.25421093423428803,40031.43,93,30.021505376344088,9.05486111111111
